DOI / Referência,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (mPa),Tensão Desviadora (mPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (mPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
"10,1061/JPEODX,0000231",RCD,Austrália,Triturado,-,A,19,"17,5","1,5",-,"1,9","13,5",175,-,A-1-a,"0,05","0,15",10000,-,-,-,-,232,1200,4398,"0,4398",Subbase,
"10,1061/JPEODX,0000232",RCD,Austrália,Triturado,-,A,19,"17,5","1,5",-,"1,9","13,5",175,-,A-1-a,"0,05","0,25",10000,-,-,-,-,210,2100,6500,"0,65",Subbase,
"10,1061/JPEODX,0000233",RCD,Austrália,Triturado,-,A,19,"17,5","1,5",-,"1,9","13,5",175,-,A-1-a,"0,05","0,35",10000,-,-,-,-,185,3500,8000,"0,8",Subbase,
"10,1061/JPEODX,0000234",RCD,Austrália,Triturado,-,A,19,"17,5","1,5",-,"1,9","13,5",175,-,A-1-a,"0,05","0,15",10000,-,-,-,-,155,1850,6840,"0,684",Subbase,
"10,1061/JPEODX,0000235",RCD,Austrália,Triturado,-,A,19,"17,5","1,5",-,"1,9","13,5",175,-,A-1-a,"0,05","0,15",10000,-,-,-,-,245,2500,8733,"0,8733",Subbase,
"10,1061/JPEODX,0000236",RCD,Austrália,Triturado,-,A,19,"17,5","1,5",-,"1,9","13,5",175,-,A-1-a,"0,05","0,15",10000,-,-,-,-,256,950,2800,"0,28",Subbase,
"10,1061/JPEODX,0000237",RCD,Austrália,Triturado,-,A,19,"17,5","1,5",-,"1,9","13,5",175,-,A-1-a,"0,05","0,25",10000,-,-,-,-,-,1600,4200,"0,42",Subbase,
"10,1061/JPEODX,0000238",RCD,Austrália,Triturado,-,A,19,"17,5","1,5",-,"1,9","13,5",175,-,A-1-a,"0,05","0,15",10000,-,-,-,-,-,750,2200,"0,22",Subbase,
"10,1061/JPEODX,0000239",RCD,Austrália,Triturado,-,A,19,"17,5","1,5",-,"1,9","13,5",175,-,A-1-a,"0,05","0,25",10000,-,-,-,-,-,1250,3500,"0,35",Subbase,
"10,1061/JPEODX,0000240",RCD,Austrália,Triturado,-,B,0,"28,55",0,-,"1,95","13,2",190,-,A-1-a,"0,05",,-,-,-,-,-,-,-,-,-,Subbase/Base leve,
"10,1061/JPEODX,0000241",RCD,Austrália,Triturado,-,C,0,"26,46",0,-,"1,96","13,2",200,-,A-1-a,"0,05",,-,-,-,-,-,-,-,-,-,Base leve,
"10,1061/JPEODX,0000242",RCD,Austrália,Triturado,-,D,0,"29,71",0,-,"1,91","12,2",190,-,A-1-a,"0,05",,-,-,-,-,-,-,-,-,-,Subbase,
"10,1061/JPEODX,0000243",RCD,Austrália,Triturado,-,E,"28,63","23,94",5,-,"1,97","12,3",190,-,A-1-a,"0,05",,-,-,-,-,-,-,-,-,-,Subbase,
"10,1061/JPEODX,0000244",RCD,Austrália,Triturado,-,F,0,"23,82",0,-,"2,06","11,2",220,-,A-1-a,"0,05",,-,-,-,-,-,-,-,-,-,Base leve,
"10,1061/JPEODX,0000245",RCD,Austrália,Triturado,-,G,0,"23,12",0,-,"2,05","10,8",260,-,A-1-a,"0,05",,-,-,-,-,-,-,-,-,-,Base leve,
"10,1061/JPEODX,0000246",RCD,Austrália,Triturado,-,H,"22,76","20,92",2,-,"1,97","11,2",240,-,A-1-a,"0,05",,-,-,-,-,-,-,-,-,-,Base leve,
"10,1061/JPEODX,0000247",RCD,Austrália,Triturado,-,I,"22,28","17,03",5,-,"2,21","8,8",280,-,A-1-a,"0,05",,-,-,-,-,-,-,-,-,-,Base,
"10,1061/JPEODX,0000248",RCD,Austrália,Triturado,-,J,0,26,0,-,"1,97","12,5",185,-,A-1-a,"0,05",,-,-,-,-,-,-,-,-,-,Subbase,
