DOI / Referência,Tipo de Resíduo,Origem / País,"Processamento (triturado, moído, fibra etc,)",Equação de Resilient Modulus,ID da Amostra,LL (%),PL (%),IP (%),Finos (%), MDD (kN/m³),OMC (%),CBR (%),Expansão (%),AASHTO,Tensão de Confinamento (kPa),Tensão Desviadora (kPa),Número de Ciclos de Carga,K1,K2,K3,R²,MR (MPa),Deformação Permanente (μℰ),Deformação Permanente Final (μℰ),DP (%),"Aplicação sugerida (subleito, sub-base, base)",Observações
"10,1061/JPEODX,0000231",RCA,Austrália,Triturado,-,A,19,17.5,1.5,-,1.9,13.5,175,-,A-1-a,50,150,10000,-,-,-,-,232,1200,4398,-,Subbase,
"10,1061/JPEODX,0000232",RCA,Austrália,Triturado,-,A,19,17.5,1.5,-,1.9,13.5,175,-,A-1-a,50,250,10000,-,-,-,-,210,2100,6500,-,Subbase,
"10,1061/JPEODX,0000233",RCA,Austrália,Triturado,-,A,19,17.5,1.5,-,1.9,13.5,175,-,A-1-a,50,350,10000,-,-,-,-,185,3500,8000,-,Subbase,
"10,1061/JPEODX,0000234",RCA,Austrália,Triturado,-,A,19,17.5,1.5,-,1.9,13.5,175,-,A-1-a,50,150,10000,-,-,-,-,155,1850,6840,-,Subbase,
"10,1061/JPEODX,0000235",RCA,Austrália,Triturado,-,A,19,17.5,1.5,-,1.9,13.5,175,-,A-1-a,50,150,10000,-,-,-,-,245,2500,8733,-,Subbase,
"10,1061/JPEODX,0000236",RCA,Austrália,Triturado,-,A,19,17.5,1.5,-,1.9,13.5,175,-,A-1-a,50,150,10000,-,-,-,-,256,950,2800,-,Subbase,
"10,1061/JPEODX,0000237",RCA,Austrália,Triturado,-,A,19,17.5,1.5,-,1.9,13.5,175,-,A-1-a,50,250,10000,-,-,-,-,-,1600,4200,-,Subbase,
"10,1061/JPEODX,0000238",RCA,Austrália,Triturado,-,A,19,17.5,1.5,-,1.9,13.5,175,-,A-1-a,50,150,10000,-,-,-,-,-,750,2200,-,Subbase,
"10,1061/JPEODX,0000239",RCA,Austrália,Triturado,-,A,19,17.5,1.5,-,1.9,13.5,175,-,A-1-a,50,250,10000,-,-,-,-,-,1250,3500,-,Subbase,
"10,1061/JPEODX,0000240",RCA,Austrália,Triturado,-,B,0,28.55,0,-,1.95,13.2,190,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Subbase/Base leve,
"10,1061/JPEODX,0000241",RCA,Austrália,Triturado,-,C,0,26.46,0,-,1.96,13.2,200,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Base leve,
"10,1061/JPEODX,0000242",RCA,Austrália,Triturado,-,D,0,29.71,0,-,1.91,12.2,190,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Subbase,
"10,1061/JPEODX,0000243",RCA,Austrália,Triturado,-,E,28.63,23.94,5,-,1.97,12.3,190,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Subbase,
"10,1061/JPEODX,0000244",RCA,Austrália,Triturado,-,F,0,23.82,0,-,02.06,11.2,220,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Base leve,
"10,1061/JPEODX,0000245",RCA,Austrália,Triturado,-,G,0,23.12,0,-,02.05,10.8,260,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Base leve,
"10,1061/JPEODX,0000246",RCA,Austrália,Triturado,-,H,22.76,20.92,2,-,1.97,11.2,240,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Base leve,
"10,1061/JPEODX,0000247",RCA,Austrália,Triturado,-,I,22.28,17.03,5,-,2.21,8.8,280,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Base,
"10,1061/JPEODX,0000248",RCA,Austrália,Triturado,-,J,0,26,0,-,1.97,12.5,185,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Subbase,
"10,1061/JPEODX,0000249",RCA,Austrália,Triturado,-,K,23.24,21.37,2,-,1.98,11.7,190,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Subbase,
"10,1061/JPEODX,0000250",RCA,Austrália,Triturado,-,L,0,30.92,0,-,02.06,10.5,185,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Subbase,
"10,1061/JPEODX,0000251",RCA,Austrália,Triturado,-,M,26.6,08.01,9,-,1.98,11,205,-,A-2-4,50,-,-,-,-,-,-,-,-,-,-,Subbase,
"10,1061/JPEODX,0000252",RCA,Austrália,Triturado,-,N,0,29.12,0,-,2,10.4,210,-,A-1-a,50,-,-,-,-,-,-,-,-,-,-,Subbase/Base leve,
"10,1080/10298436,2021,1916819",RCA,Turquia,Triturado,-,100 NA,28.61,101 NA,7.44,-,-,-,75.14,-,A-2-4,-,-,-,-,-,-,-,107,-,-,-,-,
"10,1080/10298436,2021,1916820",RCA,Turquia,Triturado,-,101 NA,28.61,102 NA,7.45,-,-,-,75.14,-,A-2-4,-,-,-,-,-,-,-,140,-,-,-,-,
"10,1080/10298436,2021,1916821",RCA,Turquia,Triturado,-,102 NA,28.61,103 NA,7.46,-,-,-,75.14,-,A-2-4,-,-,-,-,-,-,-,208,-,-,-,-,
"10,1080/10298436,2021,1916822",RCA,Turquia,Triturado,-,100 RCA1,28.71,NP,NP,-,-,-,133.77,-,A-1-a,-,-,-,-,-,-,-,107,-,-,-,-,
