left,top,MR (MPa)_faixas ,CBR (%)_faixas,AASHTO,Loc
"453668,6326","9435097,361",75-100,20-30,A - 1 - b,Ceará
"453668,6326","9436097,361",125-150,20-30,A - 2 - 4,Ceará
"453668,6326","9421097,361",125-150,20-30,A - 2 - 4,Ceará
"453668,6326","9422097,361",150-175,10-20,A - 1 - b,Ceará
"453668,6326","9423097,361",100-125,70-80,A - 2 - 4,Ceará
"453668,6326","9424097,361",75-100,20-30,A - 2 - 4,Ceará
"453668,6326","9425097,361",150-175,70-80,A - 2 - 4,Ceará
"453668,6326","9426097,361",150-175,10-20,A - 2 - 4,Ceará
"453668,6326","9427097,361",125-150,20-30,A - 2 - 4,Ceará
"453668,6326","9428097,361",125-150,70-80,A - 1 - b,Ceará
"453668,6326","9477097,361",75-100,70-80,A - 1 - b,Ceará
"453668,6326","9478097,361",100-125,20-30,A - 6,Ceará
"453668,6326","9479097,361",100-125,20-30,A - 6,Ceará
"453668,6326","9480097,361",75-100,20-30,A - 2 - 4,Ceará
"453668,6326","9481097,361",200-225,10-20,A - 2 - 4,Ceará
"453668,6326","9482097,361",100-125,20-30,A - 2 - 4,Ceará
"453668,6326","9483097,361",75-100,20-30,A - 6,Ceará
"453668,6326","9484097,361",100-125,20-30,A - 2 - 4,Ceará
"453668,6326","9469097,361",75-100,20-30,A - 4,Ceará
"453668,6326","9470097,361",100-125,20-30,A - 2 - 4,Ceará
"453668,6326","9471097,361",100-125,00-10,A - 2 - 4,Ceará
"453668,6326","9472097,361",100-125,00-10,A - 2 - 4,Ceará
"453668,6326","9473097,361",75-100,00-10,A - 2 - 4,Ceará
"453668,6326","9474097,361",200-225,00-10,A - 2 - 4,Ceará
"453668,6326","9475097,361",75-100,00-10,A - 2 - 4,Ceará
"453668,6326","9476097,361",75-100,70-80,A - 2 - 4,Ceará
"453668,6326","9461097,361",100-125,20-30,A - 1 - a,Ceará
"453668,6326","9462097,361",125-150,20-30,A - 2 - 4,Ceará
"453668,6326","9463097,361",75-100,10-20,A - 2 - 4,Ceará
"453668,6326","9464097,361",75-100,00-10,A - 2 - 4,Ceará
"453668,6326","9465097,361",100-125,70-80,A - 2 - 4,Ceará
"453668,6326","9466097,361",75-100,20-30,A - 1 - b,Ceará
"453668,6326","9467097,361",200-225,20-30,A - 2 - 4,Ceará
"453668,6326","9468097,361",75-100,20-30,A - 2 - 4,Ceará
"453668,6326","9453097,361",75-100,70-80,A - 1 - b,Ceará
"453668,6326","9454097,361",200-225,70-80,A - 2 - 4,Ceará
"453668,6326","9455097,361",200-225,70-80,A - 1 - b,Ceará
"453668,6326","9456097,361",75-100,10-20,A - 6,Ceará
"453668,6326","9457097,361",75-100,70-80,A - 2 - 4,Ceará
"453668,6326","9458097,361",100-125,70-80,A - 1 - b,Ceará
"453668,6326","9459097,361",100-125,70-80,A - 1 - b,Ceará
"453668,6326","9460097,361",75-100,70-80,A - 1 - b,Ceará
"455668,6326","9351097,361",200-225,20-30,A - 1 - b,Ceará
"455668,6326","9352097,361",200-225,20-30,A - 1 - b,Ceará
"455668,6326","9353097,361",75-100,00-10,A - 1 - b,Ceará
"455668,6326","9354097,361",200-225,20-30,A - 2 - 4,Ceará
"455668,6326","9355097,361",175-200,70-80,A - 1 - b,Ceará
"455668,6326","9356097,361",100-125,20-30,A - 1 - b,Ceará
"455668,6326","9357097,361",100-125,70-80,A - 1 - a,Ceará
"455668,6326","9358097,361",75-100,70-80,A - 1 - b,Ceará
"455668,6326","9343097,361",75-100,70-80,A - 2 - 4,Ceará
"455668,6326","9344097,361",100-125,00-10,A - 2 - 4,Ceará
"455668,6326","9345097,361",100-125,70-80,A - 2 - 4,Ceará
"455668,6326","9346097,361",200-225,20-30,A - 2 - 4,Ceará
"455668,6326","9347097,361",200-225,20-30,A - 1 - b,Ceará
"455668,6326","9348097,361",200-225,00-10,A - 1 - a,Ceará
"455668,6326","9349097,361",175-200,00-10,A - 1 - a,Ceará
